,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
194,0.052,0.053,0.053,0.041,0.053,0.041,0.037,0.044,0.05,0.04,0.097,0.047,0.059,0.049,0.043,0.053,0.053,0.055,0.044,0.036
195,0.047,0.056,0.043,0.051,0.038,0.04,0.047,0.037,0.046,0.04,0.114,0.045,0.053,0.044,0.045,0.048,0.035,0.06,0.056,0.055
196,0.052,0.046,0.05,0.042,0.048,0.028,0.044,0.041,0.048,0.042,0.096,0.045,0.045,0.037,0.062,0.06,0.058,0.053,0.056,0.047
197,0.045,0.045,0.054,0.056,0.045,0.043,0.047,0.052,0.041,0.048,0.105,0.034,0.056,0.04,0.043,0.044,0.046,0.051,0.052,0.053
198,0.047,0.045,0.051,0.054,0.042,0.047,0.036,0.028,0.04,0.037,0.109,0.055,0.049,0.054,0.054,0.039,0.054,0.047,0.063,0.049
199,0.045,0.034,0.052,0.053,0.044,0.037,0.049,0.052,0.045,0.05,0.108,0.049,0.059,0.047,0.042,0.036,0.043,0.047,0.056,0.052
200,0.055,0.055,0.057,0.059,0.041,0.031,0.045,0.056,0.049,0.038,0.115,0.036,0.046,0.047,0.046,0.04,0.038,0.046,0.044,0.056
201,0.048,0.057,0.045,0.045,0.041,0.043,0.036,0.04,0.048,0.042,0.122,0.04,0.051,0.043,0.035,0.056,0.047,0.056,0.053,0.052
202,0.048,0.057,0.045,0.043,0.052,0.037,0.031,0.047,0.047,0.046,0.108,0.037,0.042,0.046,0.056,0.039,0.045,0.054,0.068,0.052
203,0.057,0.056,0.037,0.063,0.045,0.037,0.045,0.046,0.053,0.037,0.104,0.032,0.041,0.052,0.047,0.039,0.048,0.043,0.053,0.065
204,0.046,0.044,0.04,0.044,0.053,0.05,0.048,0.044,0.044,0.046,0.109,0.05,0.043,0.038,0.049,0.04,0.058,0.047,0.065,0.042
205,0.048,0.047,0.045,0.059,0.036,0.031,0.042,0.051,0.054,0.041,0.121,0.042,0.048,0.051,0.038,0.049,0.043,0.051,0.046,0.057
206,0.064,0.044,0.051,0.044,0.046,0.042,0.039,0.049,0.052,0.035,0.106,0.043,0.04,0.048,0.04,0.051,0.049,0.041,0.048,0.068
