,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
8901,0.049,0.052,0.054,0.045,0.042,0.034,0.044,0.042,0.045,0.031,0.105,0.04,0.05,0.043,0.05,0.045,0.062,0.049,0.055,0.063
8902,0.05,0.057,0.057,0.036,0.042,0.037,0.052,0.039,0.043,0.038,0.118,0.048,0.055,0.047,0.039,0.041,0.043,0.042,0.055,0.061
8903,0.057,0.038,0.046,0.035,0.049,0.051,0.048,0.047,0.049,0.044,0.112,0.031,0.051,0.044,0.042,0.048,0.053,0.046,0.058,0.051
8904,0.059,0.053,0.044,0.042,0.051,0.043,0.042,0.054,0.042,0.052,0.109,0.038,0.043,0.036,0.054,0.04,0.039,0.065,0.049,0.045
8905,0.054,0.042,0.06,0.052,0.034,0.049,0.048,0.035,0.044,0.045,0.117,0.038,0.045,0.048,0.044,0.04,0.052,0.054,0.045,0.054
8906,0.049,0.046,0.047,0.04,0.039,0.043,0.041,0.047,0.057,0.038,0.102,0.034,0.052,0.045,0.052,0.045,0.053,0.058,0.053,0.059
8907,0.043,0.065,0.056,0.048,0.037,0.042,0.044,0.041,0.045,0.044,0.113,0.045,0.046,0.042,0.041,0.05,0.046,0.054,0.038,0.06
8908,0.054,0.056,0.044,0.053,0.05,0.039,0.044,0.036,0.053,0.045,0.103,0.036,0.038,0.048,0.045,0.044,0.055,0.06,0.044,0.053
8909,0.048,0.072,0.049,0.037,0.046,0.048,0.039,0.049,0.055,0.042,0.102,0.049,0.047,0.032,0.043,0.039,0.049,0.051,0.057,0.046
8910,0.067,0.044,0.045,0.049,0.054,0.039,0.057,0.042,0.037,0.034,0.118,0.046,0.052,0.053,0.036,0.043,0.048,0.036,0.049,0.051
8911,0.047,0.054,0.046,0.052,0.029,0.034,0.039,0.038,0.041,0.042,0.122,0.036,0.052,0.04,0.05,0.044,0.051,0.06,0.054,0.069
8912,0.05,0.052,0.054,0.051,0.045,0.047,0.031,0.03,0.045,0.042,0.111,0.052,0.041,0.046,0.045,0.052,0.037,0.06,0.05,0.059
8913,0.066,0.053,0.059,0.052,0.04,0.042,0.038,0.047,0.05,0.035,0.103,0.043,0.046,0.048,0.041,0.041,0.05,0.045,0.053,0.048
8914,0.056,0.052,0.058,0.053,0.051,0.039,0.042,0.039,0.053,0.053,0.094,0.047,0.048,0.038,0.051,0.039,0.047,0.049,0.042,0.049
